product,category,price,trademark,country,description,CAS,INCI,manufacturer,packing
Медный купорос (Медь сернокислая,Реактивы и хим. сырье,,,,,,,,
Медь окись II порошок,Реактивы и хим. сырье,,,,,,,,
Медь хлорная,Реактивы и хим. сырье,,,,,,,,
Изопропиловый спирт (Пропанол-2),Реактивы и хим. сырье,2160,,,,,,,упаков
Титан 4 оксид,Реактивы и хим. сырье,,,,,,,,
Калий уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Ацетофенон,Реактивы и хим. сырье,,,,,,,,
4-метилбензальдегид (пара-Толуальдегид) ,Реактивы и хим. сырье,51221,,,,,,,упаков
Кремний окись - Сажа белая ZC,Реактивы и хим. сырье,,,,,,,,
Шеллак обезвощенный отбеленный DBS от 25 кг,Реактивы и хим. сырье,,,,,,,,
Сурьма окись (III),Реактивы и хим. сырье,,,,,,,,
Медь гранулированная,Реактивы и хим. сырье,1853,,,,,,,упаков
Уголь активированный БАУ-А-ЛВЗ / БАУ-ЛВ мешок 10 кг,Реактивы и хим. сырье,,,,,,,,
Лимонная кислота безводная,Реактивы и хим. сырье,,,,,,,,
Лимонная кислота безводная,Реактивы и хим. сырье,335,,,,,,,упаков
Лакмоид,Реактивы и хим. сырье,140,,,,,,,упаков
Пиридин,Реактивы и хим. сырье,,,,,,,,
Камфора упак 0,Реактивы и хим. сырье,985,,,,,,,упаков
Магний силицид,Реактивы и хим. сырье,460,,,,,,,упаков
Ванилин кристаллический - 3-метокси-4-гидроксибензальдегид,Реактивы и хим. сырье,1763,,,,,,,упаков
Бумага индикаторная лакмусовая КРАСНАЯ Китай новая туба 1 шт,Реактивы и хим. сырье,,,,,,,,
Натрий полифосфат,Реактивы и хим. сырье,,,,,,,,
Олово гранулированное,Реактивы и хим. сырье,5200,,,,,,,упаков
Фосфор красный,Реактивы и хим. сырье,3450,,,,,,,упаков
Алюминий гидроксид,Реактивы и хим. сырье,,,,,,,,
Лимонная кислота пищ 1-водная,Реактивы и хим. сырье,,,,,,,,
Барий хлористый,Реактивы и хим. сырье,,,,,,,,
Касторовое масло,Реактивы и хим. сырье,3582,,,,,,,упаков
Уксусная кислота лед. 99,Реактивы и хим. сырье,1625,,,,,,,упаков
Гексан,Реактивы и хим. сырье,4704,,,,,,,упаков
Уротропин техн марка С от 25 кг,Реактивы и хим. сырье,,,,,,,,
Силикагель КСКГ,Реактивы и хим. сырье,,,,,,,,
Пропиленгликоль (моно),Реактивы и хим. сырье,498,,,,,,,упаков
Нигрозин спирторастворимый,Реактивы и хим. сырье,196,,,,,,,упаков
Стекло жидкое натриевое,Реактивы и хим. сырье,9890,,,,,,,упаков
Натрий гидроксид,Реактивы и хим. сырье,181,,,,,,,упаков
Уксусная кислота лед. 99,Реактивы и хим. сырье,2950,,,,,,,упаков
Натрий гидроксид,Реактивы и хим. сырье,,,,,,,,
Стронций хлористый,Реактивы и хим. сырье,,,,,,,,
Петролейный эфир 50-70,Реактивы и хим. сырье,,,,,,,,
Силикагель индикаторный,Реактивы и хим. сырье,,,,,,,,
Метол,Реактивы и хим. сырье,1242,,,,,,,упаков
Бромоформ (Трибромметан),Реактивы и хим. сырье,,,,,,,,
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Уксусная кислота лед. 99,Реактивы и хим. сырье,,,,,,,,
Магний сернокислый,Реактивы и хим. сырье,,,,,,,,
Натрий боргидрид,Реактивы и хим. сырье,5213,,,,,,,упаков
Этиленгликоль,Реактивы и хим. сырье,2112,,,,,,,упаков
Азотная кислота осч 18-4,Реактивы и хим. сырье,,,,,,,,
Калий хлористый,Реактивы и хим. сырье,,,,,,,,
Полиэтиленгликоль ПЭГ- 400,Реактивы и хим. сырье,345,,,,,,,упаков
Аммоний роданистый,Реактивы и хим. сырье,,,,,,,,
Борная кислота имп,Реактивы и хим. сырье,,,,,,,,
Марганец углекислый имп,Реактивы и хим. сырье,,,,,,,,
Калий железосинеродистый,Реактивы и хим. сырье,493.50,,,,,,,упаков
Натрий азид,Реактивы и хим. сырье,,,,,,,,
Аммоний фтористый кислый,Реактивы и хим. сырье,,,,,,,,
Железный сурик сухой,Реактивы и хим. сырье,,,,,,,,
Никель сернокислый 7-водн,Реактивы и хим. сырье,,,,,,,,
Пальмовое масло РДО (36-39),Реактивы и хим. сырье,,,,,,,,
Аммоний лимоннокислый 3-замещенный 0,Реактивы и хим. сырье,,,,,,,,
Кокосовое масло РДО,Реактивы и хим. сырье,382,,,,,,,упаков
Барий углекислый,Реактивы и хим. сырье,,,,,,,,
Гуммиарабик,Реактивы и хим. сырье,,,,,,,,
Триэтиламин,Реактивы и хим. сырье,,,,,,,,
Стеариновая кислота,Реактивы и хим. сырье,,,,,,,,
Натрий азид,Реактивы и хим. сырье,,,,,,,,
Алюминий сернокислый,Реактивы и хим. сырье,730,,,,,,,упаков
Калий сернокислый,Реактивы и хим. сырье,,,,,,,,
Железо III окись,Реактивы и хим. сырье,,,,,,,,
Натрий фосфорнокислый 2-зам. 12 водный,Реактивы и хим. сырье,,,,,,,,
Натрий бензоат,Реактивы и хим. сырье,,,,,,,,
Стекло жидкое натриевое (1,Реактивы и хим. сырье,,,,,,,,
Диэтаноламин,Реактивы и хим. сырье,,,,,,,,
Коричная кислота,Реактивы и хим. сырье,,,,,,,,
Глиоксиловая кислота,Реактивы и хим. сырье,9342,,,,,,,упаков
Графит черный м. ГЛС -1 (скрытокристаллический),Реактивы и хим. сырье,,,,,,,,
Люминол,Реактивы и хим. сырье,1087,,,,,,,упаков
Галловая кислота,Реактивы и хим. сырье,2450,,,,,,,упаков
Диметилглиоксим ч,Реактивы и хим. сырье,,,,,,,,
Коричная кислота,Реактивы и хим. сырье,,,,,,,,
Хром сернокислый 1-6 водный (III),Реактивы и хим. сырье,1075,,,,,,,упаков
Цирконий окись 4,Реактивы и хим. сырье,,,,,,,,
Герметик 704 силикон белый,Реактивы и хим. сырье,162,,,,,,,упаков
Натрий лимоннокислый 3-х зам.,Реактивы и хим. сырье,,,,,,,,
Натрий лимоннокислый 3-х зам. 5,Реактивы и хим. сырье,,,,,,,,
Циклогексанон,Реактивы и хим. сырье,,,,,,,,
Диоксан (1,Реактивы и хим. сырье,,,,,,,,
Бумага индикаторная универсальная (для рН) Россия,Реактивы и хим. сырье,,,,,,,,
Дифенилкарбазид -1,Реактивы и хим. сырье,750,,,,,,,упаков
Дифенилкарбазид -1,Реактивы и хим. сырье,,,,,,,,
Вакуумная смазка Dow Corning (Molykote) High Vacuum Grease,Реактивы и хим. сырье,,,,,,,,
Натрий хлористый,Реактивы и хим. сырье,95,,,,,,,упаков
Натрий дитионит,Реактивы и хим. сырье,,,,,,,,
Шеллак platina,Реактивы и хим. сырье,2280,,,,,,,упаков
Вольфрам порошок,Реактивы и хим. сырье,920,,,,,,,упаков
Уголь активированный БАУ-А,Реактивы и хим. сырье,,,,,,,,
Гидроксиламин сернокислый,Реактивы и хим. сырье,,,,,,,,
Натрий полиакрилат,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 %,Реактивы и хим. сырье,1280,,,,,,,упаков
Натрий уксуснокислый,Реактивы и хим. сырье,,,,,,,,
Натрий додецилсульфат (лаурилсульфат),Реактивы и хим. сырье,,,,,,,,
Аммоний углекислый кислый,Реактивы и хим. сырье,,,,,,,,
Монохлоруксусная кислота,Реактивы и хим. сырье,293,,,,,,,упаков
Натрий гидроксид чда,Реактивы и хим. сырье,1075,,,,,,,упаков
Натрий лимоннокислый 3-х зам. 2 водный,Реактивы и хим. сырье,,,,,,,,
Натрий альгинат,Реактивы и хим. сырье,1472,,,,,,,упаков
Натрий альгинат,Реактивы и хим. сырье,353,,,,,,,упаков
Натрий фосфорноватистокислый 1-водный,Реактивы и хим. сырье,,,,,,,,
Желатин пищевой П-11/П-140/П-160,Реактивы и хим. сырье,,,,,,,,
Гуаровая камедь - аналог Red Gum и Гуммиарабика,Реактивы и хим. сырье,,,,,,,,
Бумага индикаторная универ. Китай шт,Реактивы и хим. сырье,,,,,,,,
Бумага индикаторная универсальная (для рН) Китай,Реактивы и хим. сырье,,,,,,,,
Пирокатехин,Реактивы и хим. сырье,,,,,,,,
Бумага индикаторная универсальная (для рН) Россия,Реактивы и хим. сырье,,,,,,,,
Шеллак orange,Реактивы и хим. сырье,,,,,,,,
Свинцовый сурик (тетраксид свинца,Реактивы и хим. сырье,,,,,,,,
СТ Трилон Б 0,Реактивы и хим. сырье,877,,,,,,,упаков
Дихлорэтан,Реактивы и хим. сырье,,,,,,,,
Сплав Розе,Реактивы и хим. сырье,384,,,,,,,упаков
Гептан-н,Реактивы и хим. сырье,408,,,,,,,упаков
Кальций металлический упак 0,Реактивы и хим. сырье,1848,,,,,,,упаков
Кальций металлический,Реактивы и хим. сырье,381,,,,,,,упаков
Аммиак водный чда NH4OH в упак 9 кг,Реактивы и хим. сырье,1116,,,,,,,упаков
Натрий азотистокислый,Реактивы и хим. сырье,,,,,,,,
Сплав Розе,Реактивы и хим. сырье,,,,,,,,
Сплав Вуда,Реактивы и хим. сырье,396,,,,,,,упаков
Сплав Вуда,Реактивы и хим. сырье,,,,,,,,
Таурин,Реактивы и хим. сырье,,,,,,,,
Таурин,Реактивы и хим. сырье,90,,,,,,,упаков
Бриллиантовы зеленый,Реактивы и хим. сырье,584,,,,,,,упаков
Натрий гидрид,Реактивы и хим. сырье,7260,,,,,,,упаков
Калий надсернокислый,Реактивы и хим. сырье,,,,,,,,
Калий роданистый,Реактивы и хим. сырье,,,,,,,,
Алюминий сернокислый,Реактивы и хим. сырье,,,,,,,,
Йод кристаллический,Реактивы и хим. сырье,1580,,,,,,,упаков
Уголь активированный БАУ-А-ЛВЗ / БАУ-ЛВ (для ликеро водочных заводов),Реактивы и хим. сырье,,,,,,,,
ПАМ-2 порошок алюминиево-магниевый (фр. 140 мк) 2015 год выпуска!,Реактивы и хим. сырье,,,,,,,,
Натрий сернокислый б/в,Реактивы и хим. сырье,,,,,,,,
"Дрожжи сушеные ""Винные"" 100гр",Реактивы и хим. сырье,105,,,,,,,упаков
"Дрожжи сушеные ""Спиртовые"" 0",Реактивы и хим. сырье,182,,,,,,,упаков
Алюминий порошок серебрянка ПАП-1 Шелехов ГОСТ 5494-95,Реактивы и хим. сырье,,,,,,,,
Свинец окись II,Реактивы и хим. сырье,,,,,,,,
Аллил бромид,Реактивы и хим. сырье,23467,,,,,,,упаков
Натрий диэтилдитиокарбамат-НН,Реактивы и хим. сырье,,,,,,,,
Натрий серноватистокислый 5в,Реактивы и хим. сырье,,,,,,,,
Натрий серноватистокислый 5в,Реактивы и хим. сырье,170,,,,,,,упаков
Калий марганцевокислый (перманганат) Прекурсор 3 таблицы,Реактивы и хим. сырье,,,,,,,,
Калий-натрий виннокислый (тартрат,Реактивы и хим. сырье,,,,,,,,
Ортофосфорная кислота,Реактивы и хим. сырье,,,,,,,,
Муравьиная кислота,Реактивы и хим. сырье,,,,,,,,
Пирокатехин,Реактивы и хим. сырье,,,,,,,,
Третбутилметиловый эфир,Реактивы и хим. сырье,,,,,,,,
Калий углекислый ч/чда имп K2CO3,Реактивы и хим. сырье,,,,,,,,
Калий йодноватокислый,Реактивы и хим. сырье,,,,,,,,
Калий гидроксид,Реактивы и хим. сырье,,,,,,,,
Гексан,Реактивы и хим. сырье,,,,,,,,
Кобальт хлористый,Реактивы и хим. сырье,3640,,,,,,,упаков
Кобальт азотнокислый 6-водн,Реактивы и хим. сырье,1188,,,,,,,упаков
Кокосовое масло РДО,Реактивы и хим. сырье,306,,,,,,,упаков
Пальмовое масло РДО (36-39),Реактивы и хим. сырье,272,,,,,,,упаков
"Магний порошок МГС-99 ""300-500"" (замена Магния Гриньяра)",Реактивы и хим. сырье,,,,,,,,
Вода дистиллированная упак 5 л,Реактивы и хим. сырье,109,,,,,,,упаков
Изопропиловый спирт (Пропанол-2),Реактивы и хим. сырье,,,,,,,,
Ментол натуральный кристаллический,Реактивы и хим. сырье,,,,,,,,
Ментол натуральный кристаллический,Реактивы и хим. сырье,1062.50,,,,,,,упаков
Калий бромистый,Реактивы и хим. сырье,,,,,,,,
Лактоза,Реактивы и хим. сырье,,,,,,,,
Аммоний серноватистокислый,Реактивы и хим. сырье,,,,,,,,
Медь уксуснокислая 1-водная,Реактивы и хим. сырье,,,,,,,,
Натрий фосфорнокислый пиро 10-водн,Реактивы и хим. сырье,,,,,,,,
Калий углекислый ч/чда,Реактивы и хим. сырье,,,,,,,,
Натронная известь,Реактивы и хим. сырье,,,,,,,,
Сульфаниловая кислота,Реактивы и хим. сырье,,,,,,,,
Адипиновая кислота имп,Реактивы и хим. сырье,,,,,,,,
Парафин нефтяной твердый/гранулы,Реактивы и хим. сырье,,,,,,,,
Поливинилхлорид (ПВХ) смола ПВХС-7059М - мелкий порошок,Реактивы и хим. сырье,,,,,,,,
Натрий фосфорнокислый пиро 10-водн,Реактивы и хим. сырье,,,,,,,,
Натрий азотистокислый,Реактивы и хим. сырье,,,,,,,,
Гексахлорэтан,Реактивы и хим. сырье,,,,,,,,
Галловая кислота,Реактивы и хим. сырье,320,,,,,,,упаков
Железо хлористое (III) безводное,Реактивы и хим. сырье,,,,,,,,
Олово гранулированное,Реактивы и хим. сырье,626,,,,,,,упаков
Этиловый эфир чда/хч,Реактивы и хим. сырье,1195,,,,,,,упаков
Натрий серноватистокислый 5в,Реактивы и хим. сырье,219,,,,,,,упаков
Калий йодистый,Реактивы и хим. сырье,,,,,,,,
Метиламин раствор 38 %,Реактивы и хим. сырье,,,,,,,,
Калий дихромат,Реактивы и хим. сырье,,,,,,,,
Диметилглиоксим ч,Реактивы и хим. сырье,,,,,,,,
Аммоний фосфорнокислый 1 зам. (дигидроортофосфат),Реактивы и хим. сырье,,,,,,,,
Этилацетат,Реактивы и хим. сырье,,,,,,,,
Алюмокалиевые квасцы,Реактивы и хим. сырье,,,,,,,,
Люминол,Реактивы и хим. сырье,49900,,,,,,,упаков
Трилон Б,Реактивы и хим. сырье,,,,,,,,
Криолит (алюминий натрий фторид),Реактивы и хим. сырье,,,,,,,,
Бромистоводородная кислота,Реактивы и хим. сырье,,,,,,,,
Винная кислота - DL,Реактивы и хим. сырье,,,,,,,,
Гидроксиламин солянокислый (гидрохлорид),Реактивы и хим. сырье,,,,,,,,
Магний хлористый 6-водный,Реактивы и хим. сырье,277,,,,,,,упаков
Калий гидроксид,Реактивы и хим. сырье,355,,,,,,,упаков
Барий сернокислый,Реактивы и хим. сырье,,,,,,,,
Барий азотнокислый,Реактивы и хим. сырье,,,,,,,,
Аммоний двухромовокислый,Реактивы и хим. сырье,,,,,,,,
Аммоний двухромовокислый,Реактивы и хим. сырье,,,,,,,,
Петролейный эфир 50-70,Реактивы и хим. сырье,,,,,,,,
Аммоний надсернокислый,Реактивы и хим. сырье,,,,,,,,
Калий щавелевокислый 1 водный,Реактивы и хим. сырье,,,,,,,,
Анилин,Реактивы и хим. сырье,,,,,,,,
Цинк гранулированный,Реактивы и хим. сырье,,,,,,,,
Натрий щавелевокислый,Реактивы и хим. сырье,,,,,,,,
Кальций карбид 25/80 марка А,Реактивы и хим. сырье,385,,,,,,,упаков
Диметилсульфоксид,Реактивы и хим. сырье,,,,,,,,
Резорцин,Реактивы и хим. сырье,,,,,,,,
Янтарная кислота,Реактивы и хим. сырье,,,,,,,,
Индол,Реактивы и хим. сырье,3088,,,,,,,упаков
"Кальций азотнокислый б/в марка ""Премиум"" / б/в гранулированный 96%",Реактивы и хим. сырье,,,,,,,,
Целлюлоза микрокристаллическая (М 102) / PH102 от 20 к - по 640 руб,Реактивы и хим. сырье,,,,,,,,
Кальций глюконат,Реактивы и хим. сырье,,,,,,,,
Железо хлорид II (два) 4-водное,Реактивы и хим. сырье,,,,,,,,
Кобальт уксуснокислый II 4-водн,Реактивы и хим. сырье,1635,,,,,,,упаков
Цинк порошок ПЦР-1,Реактивы и хим. сырье,,,,,,,,
Канифоль сосновая,Реактивы и хим. сырье,,,,,,,,
Натрий Карбоксиметилцеллюлоза тех,Реактивы и хим. сырье,,,,,,,,
Натрий углекислый ,Реактивы и хим. сырье,,,,,,,,
Уголь активированный БАУ-А,Реактивы и хим. сырье,,,,,,,,
Натрий уксуснокислый 3 водн ч,Реактивы и хим. сырье,,,,,,,,
Пропионовая кислота,Реактивы и хим. сырье,4250,,,,,,,упаков
Натрий дитионит,Реактивы и хим. сырье,,,,,,,,
Аммоний фосфорнокислый 2 зам. ч,Реактивы и хим. сырье,,,,,,,,
Припой ПОС-61,Реактивы и хим. сырье,,,,,,,,
Припой ПОС-61,Реактивы и хим. сырье,,,,,,,,
Никель азотнокислый,Реактивы и хим. сырье,,,,,,,,
Бриллиантовы зеленый,Реактивы и хим. сырье,168,,,,,,,упаков
Бриллиантовы зеленый,Реактивы и хим. сырье,5386,,,,,,,упаков
Калий фосфорнокислый 1-замещенный,Реактивы и хим. сырье,475,,,,,,,упаков
Натрий метилпарабен,Реактивы и хим. сырье,1532,,,,,,,упаков
Натрий углекислый кислый,Реактивы и хим. сырье,,,,,,,,
Гидразин гидрат,Реактивы и хим. сырье,16500,,,,,,,упаков
Натрий перкарбонат,Реактивы и хим. сырье,,,,,,,,
Пальмоядровое масло РДО,Реактивы и хим. сырье,9756,,,,,,,упаков
Краситель Basic Blue 9 (аналог метиленового голубого),Реактивы и хим. сырье,,,,,,,,
Кальций хлористый,Реактивы и хим. сырье,,,,,,,,
Метилэтилкетон,Реактивы и хим. сырье,1090,,,,,,,упаков
Индигокармин,Реактивы и хим. сырье,,,,,,,,
Натрий эриторбат (изоаскорбат),Реактивы и хим. сырье,335,,,,,,,упаков
Натрий азотистокислый ч/чда,Реактивы и хим. сырье,,,,,,,,
Перекись водорода,Реактивы и хим. сырье,3570,,,,,,,упаков
Натрий сернистокислый (сульфит б/в,Реактивы и хим. сырье,,,,,,,,
Масло вакуумное для насосов 4,Реактивы и хим. сырье,3645,,,,,,,упаков
Метол,Реактивы и хим. сырье,,,,,,,,
Аммоний молибденовокислый,Реактивы и хим. сырье,695,,,,,,,упаков
Аммоний молибденовокислый,Реактивы и хим. сырье,,,,,,,,
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Алюминий порошок серебрянка ПАП-1 Шелехов,Реактивы и хим. сырье,4620,,,,,,,упаков
2-метоксибензальдегида,Реактивы и хим. сырье,3860,,,,,,,упаков
Аммоний фтористый кислый,Реактивы и хим. сырье,,,,,,,,
Пропионовая кислота,Реактивы и хим. сырье,,,,,,,,
Барий сернокислый,Реактивы и хим. сырье,253,,,,,,,упаков
Изопропиловый спирт,Реактивы и хим. сырье,4060,,,,,,,упаков
Метилен хлористый ч,Реактивы и хим. сырье,2590,,,,,,,упаков
Бутиловый спирт,Реактивы и хим. сырье,,,,,,,,
Метилпирролидон,Реактивы и хим. сырье,,,,,,,,
Муравьиная кислота,Реактивы и хим. сырье,292,,,,,,,упаков
Пропиленгликоль (моно) Германия,Реактивы и хим. сырье,4200,,,,,,,упаков
Бензол,Реактивы и хим. сырье,485,,,,,,,упаков
Яблочная кислота DL,Реактивы и хим. сырье,,,,,,,,
Трилон Б,Реактивы и хим. сырье,,,,,,,,
Идитол (СФ-0112) смола фенол-формальдегидная,Реактивы и хим. сырье,,,,,,,,
3,Реактивы и хим. сырье,3360,,,,,,,упаков
Сургуч,Реактивы и хим. сырье,,,,,,,,
Ментол натуральный кристаллический,Реактивы и хим. сырье,,,,,,,,
Пентаэритрит,Реактивы и хим. сырье,,,,,,,,
Натрий сернистокислый пиро,Реактивы и хим. сырье,,,,,,,,
Канифоль сосновая,Реактивы и хим. сырье,,,,,,,,
Аминоуксусная кислота,Реактивы и хим. сырье,,,,,,,,
Аммоний перхлорат,Реактивы и хим. сырье,,,,,,,,
Диэтиленгликоль ДЭГ,Реактивы и хим. сырье,310,,,,,,,упаков
Олово двухлористое 2-в.,Реактивы и хим. сырье,,,,,,,,
Натрий азотнокислый (нитрат),Реактивы и хим. сырье,,,,,,,,
Железо хлористое (III) 6 водное,Реактивы и хим. сырье,,,,,,,,
Азотная кислота осч 18-4,Реактивы и хим. сырье,,,,,,,,
Циклогексан,Реактивы и хим. сырье,1056,,,,,,,упаков
Цинк гранулированный,Реактивы и хим. сырье,,,,,,,,
Щавелевая кислота,Реактивы и хим. сырье,,,,,,,,
Цинк окись,Реактивы и хим. сырье,,,,,,,,
Ортофосфорная кислота,Реактивы и хим. сырье,,,,,,,,
Аммоний железо III цитрат зеленый (Железо лимонноамиачное зеленое),Реактивы и хим. сырье,1065,,,,,,,упаков
Диметилсульфоксид,Реактивы и хим. сырье,1130,,,,,,,упаков
Таннин (танин),Реактивы и хим. сырье,,,,,,,,
Калий йодистый,Реактивы и хим. сырье,1046,,,,,,,упаков
Стронций азотнокислый тех,Реактивы и хим. сырье,,,,,,,,
Трифторуксусная кислота,Реактивы и хим. сырье,17258,,,,,,,упаков
Кремний кусковой Кр0,Реактивы и хим. сырье,,,,,,,,
Кальций углекислый,Реактивы и хим. сырье,,,,,,,,
Бензотриазол 1,Реактивы и хим. сырье,,,,,,,,
Никель хлористый 6-водный,Реактивы и хим. сырье,,,,,,,,
Натрий бромистый,Реактивы и хим. сырье,,,,,,,,
Пентаэритрит,Реактивы и хим. сырье,,,,,,,,
Клей БФ-2,Реактивы и хим. сырье,476,,,,,,,упаков
Шеллак натуральный Lemon One Mashine Made,Реактивы и хим. сырье,,,,,,,,
Железо сернистое 2,Реактивы и хим. сырье,,,,,,,,
Фенол,Реактивы и хим. сырье,,,,,,,,
Тиомочевина,Реактивы и хим. сырье,,,,,,,,
Ксилол-орто,Реактивы и хим. сырье,,,,,,,,
Кальций хлористый,Реактивы и хим. сырье,,,,,,,,
Метилпирролидон,Реактивы и хим. сырье,,,,,,,,
Бензиловый спирт чда,Реактивы и хим. сырье,5513,,,,,,,упаков
Бензиловый спирт чда,Реактивы и хим. сырье,,,,,,,,
Вазелин упак 100 г,Реактивы и хим. сырье,95,,,,,,,упаков
Натрий азотнокислый,Реактивы и хим. сырье,,,,,,,,
Калий фосфорнокислый 1-замещенный,Реактивы и хим. сырье,,,,,,,,
Формамид,Реактивы и хим. сырье,1674,,,,,,,упаков
Воск озокерит,Реактивы и хим. сырье,,,,,,,,
Тетрагидрофуран (ТГФ),Реактивы и хим. сырье,,,,,,,,
Декстрин кукурузный в/с,Реактивы и хим. сырье,,,,,,,,
Аммоний углекислый,Реактивы и хим. сырье,,,,,,,,
Алюмоаммонийные квасцы,Реактивы и хим. сырье,,,,,,,,
Натрий селенистокислый (селенит) уп 0,Реактивы и хим. сырье,1360,,,,,,,упаков
Алюминий азотнокислый 9 водн,Реактивы и хим. сырье,,,,,,,,
Хлорамин Б,Реактивы и хим. сырье,490,,,,,,,упаков
Хлорамин Б,Реактивы и хим. сырье,162,,,,,,,упаков
Бутилцеллозольв (Бутилгликоль),Реактивы и хим. сырье,3555,,,,,,,упаков
Бумага оберточная 84 см 45 гр/м кв,Реактивы и хим. сырье,,,,,,,,
Перекись водорода,Реактивы и хим. сырье,2700,,,,,,,упаков
Масло вакуумное для насосов РФ,Реактивы и хим. сырье,1420,,,,,,,упаков
Соль Мажеф,Реактивы и хим. сырье,,,,,,,,
Этилцеллозольв (2-этоксиэтанол),Реактивы и хим. сырье,,,,,,,,
Кальций сернокислый 2 водный,Реактивы и хим. сырье,,,,,,,,
Уголь активированный кокосовый,Реактивы и хим. сырье,,,,,,,,
Алюминий гидроокись,Реактивы и хим. сырье,760,,,,,,,упаков
Алюминий гидроокись,Реактивы и хим. сырье,,,,,,,,
Лимонен-D,Реактивы и хим. сырье,10920,,,,,,,упаков
Лимонен-D,Реактивы и хим. сырье,1408,,,,,,,упаков
Ацетоуксусный эфир,Реактивы и хим. сырье,1790,,,,,,,упаков
Аммоний железо (2) сернокислый (соль Мора),Реактивы и хим. сырье,,,,,,,,
Морфолин,Реактивы и хим. сырье,,,,,,,,
